"0","Language","Change","Name"
"","JavaScript","+110","callemall/material-ui"
"","CSS","+109","dhg/Skeleton"
"","C++","+108","botonchou/libdnn"
"","Other","+108","AttackOnDobby/iOS-Core-Animation-Advanced-Techniques"
"","Java","+107","wangjiegulu/DraggableFlagView"
"","JavaScript","+105","typpo/textbelt"
"","JavaScript","+104","t32k/material-design-color-palette-sketch-plugin"
"","Java","+103","ksoichiro/Android-ObservableScrollView"
"","Python","+102","aothman/hiscore"
"","Rust","+101","rust-lang/rust"
"","Ruby","+101","inf0rmer/blanket"
"","Swift","+100","indragiek/DominantColor"
"","Scala","+100","lihaoyi/Scalatex"
"","Nimrod","+99","Araq/Nim"
"","Other","+99","qyuhen/book"
"","JavaScript","+98","joyent/node"
"","JavaScript","+97","Matt-Esch/virtual-dom"
"","JavaScript","+96","keen/dashboards"
"","Ruby","+96","cantino/huginn"
"","JavaScript","+95","Automattic/socket.io"
"","JavaScript","+95","slap-editor/slap"
"","C","+95","skeeto/interactive-c-demo"
"","C","+94","mozilla/mozjpeg"
"","Python","+94","shadowsocks/shadowsocks"
"","JavaScript","+93","Polymer/polymer"
"","JavaScript","+92","Turfjs/turf"
"","Java","+91","groovy/groovy-core"
"","JavaScript","+91","staltz/cycle"
"","JavaScript","+91","Leask/BRICKS"
"","Python","+90","mitsuhiko/flask"
"","JavaScript","+89","brentvatne/tinder-netflix"
"","Shell","+89","chengr28/RevokeChinaCerts"
"","Python","+88","django/django"
"","Other","+88","cyberwizardinstitute/workshops"
"","JavaScript","+87","resume/resume.github.com"
"","Other","+87","bayandin/awesome-awesomeness"
"","Python","+85","vishnevskiy/ElixirSublime"
"","Other","+84","caesar0301/awesome-public-datasets"
"","Go","+84","dockerboard/dockerboard"
"","JavaScript","+84","cssdream/cssgrace"
"","Swift","+83","ipader/SwiftGuide"
"","Ruby","+83","Homebrew/homebrew"
"","Java","+82","iluwatar/java-design-patterns"
"","Objective-C","+82","jamztang/CSStickyHeaderFlowLayout"
"","PHP","+81","laravel/laravel"
"","Python","+81","kennethreitz/requests"
"","JavaScript","+80","strongloop/express"
"","JavaScript","+79","TryGhost/Ghost"
"","JavaScript","+79","google/end-to-end"
"","Shell","+78","dnschneid/crouton"
"","Go","+78","influxdb/influxdb"
"","JavaScript","+78","grafana/grafana"
"","JavaScript","+78","h5bp/html5-boilerplate"
"","JavaScript","+77","enaqx/awesome-react"
"","Objective-C","+77","samvermette/SVPullToRefresh"
"","Swift","+76","Carthage/Carthage"
"","Python","+76","ansible/ansible"
"","Go","+75","hybridgroup/gobot"
"","Objective-C","+75","rickytan/RTImageAssets"
"","JavaScript","+75","moment/moment"
"","Other","+75","johnpapa/angularjs-styleguide"
"","JavaScript","+75","jashkenas/backbone"
"","Perl","+75","aui/font-spider"
"","JavaScript","+75","substack/stream-handbook"
"","JavaScript","+74","zxlie/WeixinApi"
"","JavaScript","+74","MaciejCzyzewski/hyhyhy"
"","Ruby","+74","rails/rails"
"","Java","+73","navasmdc/MaterialDesignLibrary"
"","PHP","+73","Roave/SecurityAdvisories"
"","JavaScript","+73","af/JSnoX"
"","CSS","+73","necolas/normalize.css"
"","Java","+72","naman14/PlayNewsStandDemo"
"","Java","+72","nostra13/Android-Universal-Image-Loader"
"","Clojure","+72","tonsky/rum"
"","JavaScript","+71","gdi2290/angular-websocket"
"","Python","+71","wbond/package_control"
"","JavaScript","+71","bigboringsystem/bigboringsystem"
"","CSS","+71","google/web-starter-kit"
"","C++","+70","zhihu/kids"
"","Java","+70","google/guava"
"","Python","+70","rg3/youtube-dl"
"","Ruby","+70","jekyll/jekyll"
"","JavaScript","+69","adobe/brackets"
"","JavaScript","+69","Unitech/PM2"
"","JavaScript","+68","getify/You-Dont-Know-JS"
"","Objective-C","+68","magicalpanda/MagicalRecord"
"","Java","+68","liaohuqiu/android-Ultra-Pull-To-Refresh"
"","C++","+68","Itseez/opencv"
"","Go","+68","ChimeraCoder/gojson"
"","CSS","+68","picturepan2/fileicon.css"
"","C","+68","antirez/redis"
"","Python","+68","binux/pyspider"
"","Python","+68","scrapy/scrapy"
"","Go","+67","gogits/gogs"
"","PHP","+67","Cydrobolt/polr"
"","JavaScript","+66","jrm2k6/dynamic-json-resume"
"","Other","+66","justjavac/free-programming-books-zh_CN"
"","JavaScript","+66","emberjs/ember.js"
"","PHP","+66","Pomax/bezierinfo"
"","JavaScript","+66","TopCloud/loadbalancer"
"","C++","+66","facebook/hhvm"
"","Java","+65","square/okhttp"
"","JavaScript","+65","photonstorm/phaser"
"","Other","+64","SamHerbert/SVG-Loaders"
"","Swift","+64","lexrus/LTMorphingLabel"
"","Python","+64","TheRook/subbrute"
"","Java","+64","Netflix/ice"
"","Stata","+64","txthinking/google-hosts"
"","JavaScript","+64","Deathamns/uBlock"
"","JavaScript","+64","Reactive-Extensions/RxJS"
"","JavaScript","+63","nnnick/Chart.js"
"","Objective-C","+63","AFNetworking/AFNetworking"
"","JavaScript","+63","allmobilize/amazeui"
"","JavaScript","+63","GoodBoyDigital/pixi.js"
"","Python","+62","josephmisiti/awesome-machine-learning"
"","JavaScript","+62","jquery/jquery"
"","JavaScript","+61","mauriciosoares/core.js"
"","Ruby","+61","discourse/discourse"
"","C#","+60","dotnet/corefx"
"","JavaScript","+60","blueimp/jQuery-File-Upload"
"","CSS","+60","yasaricli/metrello"
"","C","+60","LnxPrgr3/crossfeed"
"","JavaScript","+60","WuYongZhiYong/iewarning"
"","JavaScript","+60","caolan/async"
"","Objective-C","+60","remirobert/RRMessageController"
"","JavaScript","+60","angular-ui/ui-router"
"","JavaScript","+59","gionkunz/chartist-js"
"","JavaScript","+59","facebook/flux"
"","Go","+59","spf13/hugo"
"","Swift","+59","Alamofire/Alamofire"
"","JavaScript","+59","webpack/webpack"
"","Other","+59","waylau/spring-framework-4-reference"
"","JavaScript","+59","balderdashy/sails"
"","Ruby","+58","outpunk/evil-icons"
"","Swift","+58","SwiftyJSON/SwiftyJSON"
"","C","+58","wg/wrk"
"","PHP","+58","yiisoft/yii2"
"","JavaScript","+58","hakimel/reveal.js"
"","C++","+57","khizmax/libcds"
"","JavaScript","+57","benweet/stackedit"
"","CSS","+57","zurb/foundation"
"","Java","+57","greenrobot/EventBus"
"","Python","+57","zokis/Python--Faster-Way"
"","Java","+57","ReactiveX/RxJava"
"","C++","+56","BVLC/caffe"
"","JavaScript","+56","mrdoob/three.js"
"","Other","+55","instanceofpro/awesome-backbone"
"","Go","+55","GoogleCloudPlatform/kubernetes"
"","JavaScript","+55","urish/angular-moment"
"","Python","+55","USArmyResearchLab/Dshell"
"","C","+55","SamyPesse/How-to-Make-a-Computer-Operating-System"
"","CSS","+55","thoughtbot/bourbon"
"","Java","+55","futuresimple/android-floating-action-button"
"","JavaScript","+55","bartaz/impress.js"
"","C","+55","git/git"
"","Other","+55","sindresorhus/awesome"
"","JavaScript","+55","tastejs/todomvc"
"","Python","+55","CamDavidsonPilon/StartupFiles"
"","Go","+55","coreos/rocket"
"","Java","+54","Malinskiy/SuperRecyclerView"
"","JavaScript","+54","feross/webtorrent"
"","Java","+54","rengwuxian/MaterialEditText"
"","JavaScript","+54","alexwolfe/Buttons"
"","CSS","+54","flexiblegs/flexiblegs"
"","Objective-C","+53","rs/SDWebImage"
"","JavaScript","+53","facebook/immutable-js"
"","Java","+53","elasticsearch/elasticsearch"
"","JavaScript","+53","angular-ui/bootstrap"
"","Objective-C++","+53","facebook/pop"
"","JavaScript","+53","Semantic-Org/Semantic-UI"
"","Go","+53","robbiev/devdns"
"","CSS","+53","driftyco/ionicons"
"","Java","+53","john990/WaveView"
"","JavaScript","+52","Modernizr/Modernizr"
"","VimL","+52","gmarik/Vundle.vim"
"","C","+52","mgba-emu/mgba"
"","Python","+52","alixander/PyScribe"
"","Other","+52","vsouza/awesome-ios"
"","Python","+52","docker/fig"
"","Objective-C","+52","ReactiveCocoa/ReactiveCocoa"
"","Other","+52","avelino/awesome-go"
"","JavaScript","+52","adam-p/markdown-here"
"","PHP","+52","benplummer/calendarful"
"","Swift","+51","nghialv/MaterialKit"
"","Java","+51","traex/RippleEffect"
"","JavaScript","+51","substack/node-browserify"
"","Java","+51","westlinkin/AndroidLocalizationer"
"","JavaScript","+51","petkaantonov/bluebird"
"","Ruby","+51","mitchellh/vagrant"
"","JavaScript","+51","ivaynberg/select2"
"","CSS","+51","twbs/ratchet"
"","Go","+51","syncthing/syncthing"
"","Objective-C","+50","Masonry/Masonry"
"","Java","+50","afollestad/material-dialogs"
"","Python","+50","Tribler/tribler"
"","C++","+50","bitcoin/bitcoin"
"","JavaScript","+50","globocom/clappr"
"","Objective-C","+50","jessesquires/JSQMessagesViewController"
"","Ruby","+50","elabs/refile"
"","Objective-C","+49","omergul123/LLSimpleCamera"
"","Other","+49","kbandla/APTnotes"
"","Java","+49","google/iosched"
"","C","+49","julycoding/The-Art-Of-Programming-By-July"
"","Java","+49","libgdx/libgdx"
"","JavaScript","+49","jashkenas/underscore"
"","JavaScript","+49","bevacqua/but"
"","Bison","+49","matz/streem"
"","CSS","+49","sahat/hackathon-starter"
"","Swift","+48","duemunk/Async"
